subjectID, guessNum, elapsedTime, dotClockNum, missedClicks
1, 1, 838.0, 2, 0
1, 2, 1241.0, 7, 1
1, 3, 817.0, 2, 0
1, 4, 1033.0, 8, 1
1, 5, 808.0, 1, 0
1, 6, 1009.0, 6, 1
1, 7, 807.0, 12, 1
1, 8, 792.0, 7, 0
1, 9, 834.0, 12, 1
1, 10, 950.0, 6, 0
1, 11, 1391.0, 12, 2
1, 12, 775.0, 5, 0
1, 13, 858.0, 11, 1
1, 14, 1243.0, 4, 0
1, 15, 1083.0, 9, 1
1, 16, 875.0, 3, 0
1, 17, 948.0, 10, 1
1, 18, 858.0, 4, 0
1, 19, 932.0, 11, 1
1, 20, 834.0, 5, 0
1, 21, 793.0, 10, 1
1, 22, 850.0, 4, 0
1, 23, 875.0, 10, 1
1, 24, 823.0, 5, 0
2, 1, 831.0, 8, 0
2, 2, 975.0, 2, 0
2, 3, 660.0, 8, 1
2, 4, 932.0, 3, 0
2, 5, 833.0, 8, 1
2, 6, 759.0, 1, 0
2, 7, 791.0, 6, 1
2, 8, 717.0, 11, 1
2, 9, 674.0, 4, 0
2, 10, 1509.0, 9, 3
2, 11, 958.0, 4, 0
2, 12, 816.0, 10, 1
2, 13, 685.0, 3, 0
2, 14, 1359.0, 9, 2
2, 15, 841.0, 4, 0
2, 16, 884.0, 10, 1
2, 17, 831.0, 5, 0
2, 18, 758.0, 12, 1
2, 19, 785.0, 5, 0
2, 20, 816.0, 10, 1
2, 21, 867.0, 3, 0
2, 22, 799.0, 9, 1
2, 23, 1067.0, 2, 1
2, 24, 725.0, 7, 1
3, 1, 973.0, 10, 0
3, 2, 716.0, 3, 0
3, 3, 535.0, 9, 1
3, 4, 490.0, 4, 0
3, 5, 492.0, 9, 1
3, 6, 501.0, 2, 0
3, 7, 482.0, 9, 1
3, 8, 485.0, 2, 0
3, 9, 883.0, 7, 2
3, 10, 473.0, 12, 1
3, 11, 500.0, 7, 0
3, 12, 476.0, 2, 0
3, 13, 473.0, 8, 1
3, 14, 588.0, 1, 0
3, 15, 476.0, 6, 1
3, 16, 595.0, 11, 1
3, 17, 509.0, 4, 0
3, 18, 490.0, 10, 1
3, 19, 576.0, 3, 0
3, 20, 616.0, 8, 1
3, 21, 651.0, 3, 0
3, 22, 558.0, 8, 1
3, 23, 550.0, 1, 0
3, 24, 500.0, 6, 1
4, 1, 442.0, 2, 0
4, 2, 1375.0, 9, 1
4, 3, 1258.0, 3, 0
4, 4, 1242.0, 8, 1
4, 5, 1968.0, 1, 1
4, 6, 1375.0, 8, 1
4, 7, 1283.0, 1, 0
4, 8, 1223.0, 7, 1
4, 9, 977.0, 1, 0
4, 10, 1217.0, 8, 1
4, 11, 1440.0, 2, 0
4, 12, 1500.0, 7, 1
4, 13, 1467.0, 2, 0
4, 14, 1410.0, 7, 1
4, 15, 1469.0, 12, 1
4, 16, 1104.0, 6, 0
4, 17, 1459.0, 12, 1
4, 18, 998.0, 6, 0
4, 19, 1158.0, 12, 1
4, 20, 1266.0, 5, 0
4, 21, 1326.0, 11, 1
4, 22, 1351.0, 5, 0
4, 23, 1783.0, 10, 1
4, 24, 1116.0, 3, 0
5, 1, 565.0, 12, 0
5, 2, 602.0, 5, 0
5, 3, 482.0, 10, 1
5, 4, 502.0, 5, 0
5, 5, 481.0, 12, 1
5, 6, 468.0, 5, 0
5, 7, 469.0, 12, 1
5, 8, 480.0, 6, 0
5, 9, 441.0, 1, 0
5, 10, 469.0, 6, 1
5, 11, 450.0, 11, 1
5, 12, 448.0, 6, 0
5, 13, 458.0, 1, 0
5, 14, 451.0, 7, 1
5, 15, 449.0, 2, 0
5, 16, 850.0, 8, 2
5, 17, 465.0, 3, 0
5, 18, 543.0, 10, 1
5, 19, 665.0, 3, 0
5, 20, 492.0, 10, 1
5, 21, 457.0, 4, 0
5, 22, 469.0, 11, 1
5, 23, 524.0, 4, 0
5, 24, 500.0, 11, 1
6, 1, 507.0, 10, 0
6, 2, 809.0, 3, 0
6, 3, 743.0, 8, 1
6, 4, 748.0, 2, 0
6, 5, 667.0, 9, 1
6, 6, 775.0, 4, 0
6, 7, 802.0, 11, 1
6, 8, 665.0, 6, 0
6, 9, 600.0, 11, 1
6, 10, 768.0, 4, 0
6, 11, 724.0, 10, 1
6, 12, 751.0, 3, 0
6, 13, 700.0, 10, 1
6, 14, 724.0, 5, 0
6, 15, 775.0, 12, 1
6, 16, 628.0, 5, 0
6, 17, 588.0, 11, 1
6, 18, 618.0, 5, 0
6, 19, 640.0, 12, 1
6, 20, 667.0, 6, 0
6, 21, 708.0, 1, 0
6, 22, 1116.0, 8, 2
6, 23, 1066.0, 3, 1
6, 24, 775.0, 8, 1
7, 1, 682.0, 3, 0
7, 2, 701.0, 8, 1
7, 3, 633.0, 1, 0
7, 4, 541.0, 7, 1
7, 5, 516.0, 12, 1
7, 6, 480.0, 6, 0
7, 7, 515.0, 12, 1
7, 8, 523.0, 7, 0
7, 9, 509.0, 12, 1
7, 10, 501.0, 5, 0
7, 11, 530.0, 10, 1
7, 12, 559.0, 3, 0
7, 13, 574.0, 8, 1
7, 14, 593.0, 3, 0
7, 15, 591.0, 10, 1
7, 16, 511.0, 5, 0
7, 17, 578.0, 11, 1
7, 18, 869.0, 6, 1
7, 19, 574.0, 1, 0
7, 20, 510.0, 6, 1
7, 21, 991.0, 11, 2
7, 22, 583.0, 5, 0
7, 23, 541.0, 10, 1
7, 24, 599.0, 4, 0
8, 1, 515.0, 10, 0
8, 2, 1184.0, 5, 0
8, 3, 959.0, 12, 1
8, 4, 833.0, 6, 0
8, 5, 915.0, 11, 1
8, 6, 817.0, 5, 0
8, 7, 841.0, 11, 1
8, 8, 824.0, 4, 0
8, 9, 860.0, 11, 1
8, 10, 1010.0, 6, 0
8, 11, 881.0, 1, 0
8, 12, 881.0, 7, 1
8, 13, 837.0, 2, 0
8, 14, 758.0, 9, 1
8, 15, 964.0, 3, 0
8, 16, 951.0, 8, 1
8, 17, 1054.0, 3, 0
8, 18, 828.0, 10, 1
8, 19, 959.0, 3, 0
8, 20, 1133.0, 8, 1
8, 21, 1349.0, 2, 1
8, 22, 1267.0, 8, 1
8, 23, 1208.0, 1, 0
8, 24, 867.0, 6, 1
9, 1, 423.0, 3, 0
9, 2, 683.0, 8, 1
9, 3, 742.0, 1, 0
9, 4, 591.0, 6, 1
9, 5, 568.0, 12, 1
9, 6, 591.0, 5, 0
9, 7, 516.0, 12, 1
9, 8, 550.0, 6, 0
9, 9, 575.0, 11, 1
9, 10, 583.0, 4, 0
9, 11, 558.0, 10, 1
9, 12, 617.0, 3, 0
9, 13, 507.0, 9, 1
9, 14, 860.0, 3, 1
9, 15, 566.0, 8, 1
9, 16, 658.0, 2, 0
9, 17, 666.0, 8, 1
9, 18, 634.0, 1, 0
9, 19, 649.0, 7, 1
9, 20, 565.0, 12, 1
9, 21, 568.0, 7, 0
9, 22, 687.0, 1, 0
9, 23, 591.0, 6, 1
9, 24, 638.0, 11, 1
10, 1, 414.0, 5, 0
10, 2, 702.0, 11, 1
10, 3, 614.0, 6, 0
10, 4, 582.0, 1, 0
10, 5, 526.0, 6, 1
10, 6, 600.0, 11, 1
10, 7, 533.0, 4, 0
10, 8, 784.0, 10, 1
10, 9, 917.0, 4, 1
10, 10, 767.0, 11, 1
10, 11, 700.0, 4, 0
10, 12, 617.0, 9, 1
10, 13, 625.0, 2, 0
10, 14, 765.0, 7, 1
10, 15, 642.0, 1, 0
10, 16, 608.0, 8, 1
10, 17, 625.0, 3, 0
10, 18, 642.0, 9, 1
10, 19, 708.0, 2, 0
10, 20, 534.0, 7, 1
10, 21, 526.0, 1, 0
10, 22, 515.0, 8, 1
10, 23, 576.0, 3, 0
10, 24, 1000.0, 9, 2
